	medoids	medoids_index	medoids_GR	itemset	itemset_index	itemset_GR	item	item_index	item_GR	itemset*GR	itemset*GR_index	itemset*GR_GR	item*GR	item*GR_index	item*GR_GR	itemset*recouvrement	itemset*recouvrement_index	itemset*recouvrement_GR	item*recouvrement	item*recouvrement_index	item*recouvrement_GR
67	{lemma__,wp_▁localisation,lemma_transport} {lemma_de,form_2001,wp_▁localisation,dep__} {dep__,lemma_le,form_RER,pos_DET,wp_▁restés} {wp_▁Historique} {wp_▁localisation}	[{25, 11965, 12071}, {9, 11978, 11965, 6}, {6, 104, 12073, 80, 12052}, {11962}, {11965}]	0.2681564245810056	{lemma__,wp_▁localisation,lemma_transport} {form_2001,wp_▁localisation,dep__} {dep__,lemma_le,form_RER,pos_DET,wp_▁restés} {wp_▁Historique}	[{25, 11965, 12071}, {11978, 11965, 6}, {6, 104, 12073, 80, 12052}, {11962}]	74.0	{lemma__,wp_▁localisation,lemma_transport} {dep__,lemma_de,form_2001,wp_▁de,wp_▁localisation} {dep__,lemma_le,form_RER,pos_DET,wp_▁restés} {wp_▁Historique}	[{25, 11965, 12071}, {6, 9, 11978, 12, 11965}, {6, 104, 12073, 80, 12052}, {11962}]	0.31843575418994413	{lemma__,wp_▁localisation,lemma_transport} {form_2001,wp_▁localisation,dep__} {dep__,lemma_le,form_RER,pos_DET,wp_▁restés} {wp_▁Historique}	[{25, 11965, 12071}, {11978, 11965, 6}, {6, 104, 12073, 80, 12052}, {11962}]	74.0	{lemma__,wp_▁localisation,lemma_transport} {form_2001,wp_▁localisation,dep__} {dep__,lemma_le,form_RER,pos_DET,wp_▁restés} {wp_▁Historique}	[{25, 11965, 12071}, {11978, 11965, 6}, {6, 104, 12073, 80, 12052}, {11962}]	74.0	{lemma__,wp_▁localisation,lemma_transport} {dep__,lemma_de,form_2001,wp_▁de,wp_▁localisation} {dep__,lemma_le,form_RER,pos_DET,wp_▁restés} {wp_▁Historique}	[{25, 11965, 12071}, {6, 9, 11978, 12, 11965}, {6, 104, 12073, 80, 12052}, {11962}]	0.31843575418994413	{lemma__,wp_▁localisation,lemma_transport} {dep__,lemma_de,form_2001,wp_▁de,wp_▁localisation} {dep__,lemma_le,form_RER,pos_DET,wp_▁restés} {wp_▁Historique}	[{25, 11965, 12071}, {6, 9, 11978, 12, 11965}, {6, 104, 12073, 80, 12052}, {11962}]	0.31843575418994413
68	{form_acquisition} {wp_▁localisation} {lemma_7114} {form_Dynamiques} {wp_▁localisation}	[{12005}, {11965}, {11976}, {11968}, {11965}]	0.2569832402234637	{form_acquisition} {wp_▁localisation} {lemma_7114} {form_Dynamiques} {wp_▁localisation}	[{12005}, {11965}, {11976}, {11968}, {11965}]	0.2569832402234637	{form_acquisition} {wp_▁localisation} {lemma_7114} {form_Dynamiques} {wp_▁localisation}	[{12005}, {11965}, {11976}, {11968}, {11965}]	0.2569832402234637	{form_acquisition} {pos_ADJ}	[{12005}, {153}]	48.0	{form_acquisition} {pos_ADJ}	[{12005}, {153}]	48.0	{form_acquisition} {pos_ADJ}	[{12005}, {153}]	48.0	{form_acquisition} {pos_ADJ}	[{12005}, {153}]	48.0
69	{form_2001,wp_▁localisation} {pos_DET,lemma_7114} {lemma_7114,form_acquisition}	[{11978, 11965}, {80, 11976}, {11976, 12005}]	76.0	{form_acquisition} {form_2001,wp_▁localisation}	[{12005}, {11978, 11965}]	108.0	{form_2001,wp_▁localisation} {pos_DET,wp_▁restés,form_acquisition,lemma_7114} {lemma_7114,form_acquisition}	[{11978, 11965}, {80, 12052, 12005, 11976}, {11976, 12005}]	0.2849162011173184	{form_acquisition} {form_2001,wp_▁localisation}	[{12005}, {11978, 11965}]	108.0	{pos_DET,lemma_7114}	[{80, 11976}]	129.0	{pos_DET,lemma_7114}	[{80, 11976}]	129.0	{pos_DET,lemma_7114}	[{80, 11976}]	129.0
70	{wp_▁d,wp_'}	[{22, 23}]	0.329608938547486	{wp_▁localisation,wp_'}	[{11965, 23}]	64.0	{lemma_de,form_2001,wp_▁d,wp_',wp_▁localisation}	[{9, 11978, 22, 23, 11965}]	0.3240223463687151	{wp_'}	[{23}]	96.0	{wp_▁localisation,wp_'}	[{11965, 23}]	64.0	{wp_'}	[{23}]	96.0	{wp_▁d,wp_'}	[{22, 23}]	0.329608938547486
71	{pos_DET} {form_acquisition} {wp_▁localisation} {lemma_7114}	[{80}, {12005}, {11965}, {11976}]	53.0	{wp_▁localisation} {lemma_7114} {wp_▁localisation} {form_acquisition}	[{11965}, {11976}, {11965}, {12005}]	0.2737430167597765	{wp_▁localisation} {lemma_le,form_RER,lemma_7114,pos_DET,wp_▁restés} {form_Dynamiques,lemma_7114} {wp_▁localisation} {form_2001,wp_▁localisation} {pos_DET,form_RER,lemma_le,wp_▁restés}	[{11965}, {104, 12073, 11976, 80, 12052}, {11968, 11976}, {11965}, {11978, 11965}, {80, 12073, 104, 12052}]	0.2569832402234637	{wp_▁localisation} {pos_DET} {form_acquisition} {wp_▁localisation}	[{11965}, {80}, {12005}, {11965}]	84.0	{pos_DET}	[{80}]	142.0	{pos_DET}	[{80}]	142.0	{pos_DET}	[{80}]	142.0
72	{form_acquisition} {wp_▁localisation} {form_acquisition} {wp_▁localisation}	[{12005}, {11965}, {12005}, {11965}]	0.2569832402234637	{form_acquisition} {wp_▁localisation} {wp_▁localisation}	[{12005}, {11965}, {11965}]	93.0	{form_acquisition} {wp_▁localisation} {wp_▁localisation}	[{12005}, {11965}, {11965}]	93.0	{form_acquisition} {wp_▁localisation} {wp_▁localisation}	[{12005}, {11965}, {11965}]	93.0	{form_acquisition} {wp_▁localisation} {wp_▁localisation}	[{12005}, {11965}, {11965}]	93.0	{form_acquisition} {wp_▁localisation} {wp_▁localisation} {dep__}	[{12005}, {11965}, {11965}, {6}]	0.27932960893854747	{form_acquisition} {wp_▁localisation} {wp_▁localisation} {dep__}	[{12005}, {11965}, {11965}, {6}]	0.27932960893854747
73	{form_caractérise,wp_▁caractérise,form_bus} {wp_▁localisation}	[{12241, 12242, 12087}, {11965}]	65.0	{form_bus} {wp_▁localisation}	[{12087}, {11965}]	98.0	{form_caractérise,wp_▁caractérise,form_centraux,form_bus,wp_▁Historique}	[{12241, 12242, 12243, 12087, 11962}]	0.2681564245810056	{form_bus} {wp_▁localisation}	[{12087}, {11965}]	98.0	{form_caractérise,wp_▁caractérise,form_centraux,form_bus}	[{12241, 12242, 12243, 12087}]	67.0	{wp_▁localisation} {form_bus}	[{11965}, {12087}]	70.0	{wp_▁localisation} {form_bus}	[{11965}, {12087}]	70.0
74	{wp_▁localisation} {wp_'} {lemma_7114}	[{11965}, {23}, {11976}]	61.0	{wp_▁localisation} {wp_'}	[{11965}, {23}]	66.0	{lemma_de,form_2001,wp_▁de,wp_▁localisation} {lemma_7114} {wp_▁localisation}	[{9, 11978, 12, 11965}, {11976}, {11965}]	0.3240223463687151	{wp_▁localisation} {wp_'}	[{11965}, {23}]	66.0	{wp_▁localisation} {wp_'}	[{11965}, {23}]	66.0	{wp_▁localisation} {wp_'}	[{11965}, {23}]	66.0	{wp_▁localisation} {wp_'}	[{11965}, {23}]	66.0
75	{lemma_le,form_RER,pos_DET,wp_▁restés,wp_▁V} {wp_▁V} {wp_▁localisation}	[{104, 12073, 80, 12052, 11957}, {11957}, {11965}]	0.3743016759776536	{lemma_le,form_RER,pos_DET,wp_▁restés,wp_▁V,wp_▁les} {wp_▁V}	[{104, 12073, 80, 12052, 11957, 441}, {11957}]	90.0	{lemma_le,form_RER,pos_DET,wp_▁restés,wp_▁V,wp_▁les} {form_Dynamiques,wp_▁Historique,wp_▁V}	[{104, 12073, 80, 12052, 11957, 441}, {11968, 11962, 11957}]	0.3743016759776536	{lemma_le,form_RER,pos_DET,wp_▁restés,wp_▁V} {wp_▁V}	[{104, 12073, 80, 12052, 11957}, {11957}]	91.0	{lemma_le,form_RER,pos_DET,wp_▁restés,wp_▁V,wp_▁les} {wp_▁V}	[{104, 12073, 80, 12052, 11957, 441}, {11957}]	90.0	{pos_DET,wp_▁restés,wp_▁V} {wp_▁V}	[{80, 12052, 11957}, {11957}]	93.0	{pos_DET,wp_▁restés,wp_▁V} {wp_▁V}	[{80, 12052, 11957}, {11957}]	93.0
76	{pos_ADJ} {wp_▁localisation} {lemma_7114}	[{153}, {11965}, {11976}]	0.26256983240223464	{pos_ADJ}	[{153}]	101.0	{lemma_7114,pos_ADJ}	[{11976, 153}]	69.0	{pos_ADJ}	[{153}]	101.0	{lemma_7114,pos_ADJ}	[{11976, 153}]	69.0	{pos_ADJ}	[{153}]	101.0	{lemma_7114,pos_ADJ}	[{11976, 153}]	69.0
77	{lemma_7114} {lemma_7114} {wp_▁localisation} {wp_▁localisation} {lemma_7114} {lemma_7114}	[{11976}, {11976}, {11965}, {11965}, {11976}, {11976}]	0.26256983240223464	{lemma_7114} {lemma_7114} {wp_▁localisation} {wp_▁localisation} {lemma_7114} {lemma_7114}	[{11976}, {11976}, {11965}, {11965}, {11976}, {11976}]	0.26256983240223464	{lemma_7114} {lemma_7114} {wp_▁localisation} {wp_▁localisation} {lemma_7114} {lemma_7114}	[{11976}, {11976}, {11965}, {11965}, {11976}, {11976}]	0.26256983240223464	{lemma_7114} {lemma_7114} {wp_▁localisation} {wp_▁localisation} {lemma_7114}	[{11976}, {11976}, {11965}, {11965}, {11976}]	0.3016759776536313	{lemma_7114} {lemma_7114} {wp_▁localisation} {wp_▁localisation} {lemma_7114}	[{11976}, {11976}, {11965}, {11965}, {11976}]	0.3016759776536313	{lemma_7114} {lemma_7114} {wp_▁localisation} {wp_▁localisation} {lemma_7114}	[{11976}, {11976}, {11965}, {11965}, {11976}]	0.3016759776536313	{lemma_7114} {lemma_7114} {wp_▁localisation} {wp_▁localisation} {lemma_7114}	[{11976}, {11976}, {11965}, {11965}, {11976}]	0.3016759776536313
78	{pos_DET,form_RER,lemma_le,wp_▁restés} {form_Dynamiques,wp_▁Historique} {wp_▁localisation} {form_Dynamiques}	[{80, 12073, 104, 12052}, {11968, 11962}, {11965}, {11968}]	0.329608938547486	{form_Dynamiques} {lemma__,wp_▁localisation,lemma_transport} {form_2001,wp_▁localisation,dep__} {dep__,lemma_le,form_RER,pos_DET,wp_▁restés} {form_Dynamiques,wp_▁Historique}	[{11968}, {25, 11965, 12071}, {11978, 11965, 6}, {6, 104, 12073, 80, 12052}, {11968, 11962}]	0.3407821229050279	{form_Dynamiques} {lemma__,wp_▁localisation,lemma_transport} {form_2001,wp_▁localisation,dep__} {dep__,lemma_le,form_RER,pos_DET,wp_▁restés,wp_▁V,wp_▁les} {form_Dynamiques,wp_▁Historique,wp_▁V}	[{11968}, {25, 11965, 12071}, {11978, 11965, 6}, {6, 104, 12073, 80, 12052, 11957, 441}, {11968, 11962, 11957}]	0.25139664804469275	{form_Dynamiques} {lemma__,wp_▁localisation,lemma_transport} {form_2001,wp_▁localisation,dep__} {dep__,lemma_le,form_RER,pos_DET,wp_▁restés} {form_Dynamiques,wp_▁Historique}	[{11968}, {25, 11965, 12071}, {11978, 11965, 6}, {6, 104, 12073, 80, 12052}, {11968, 11962}]	0.3407821229050279	{form_Dynamiques} {lemma__,wp_▁localisation,lemma_transport} {form_2001,wp_▁localisation,dep__} {dep__,lemma_le,form_RER,pos_DET,wp_▁restés} {form_Dynamiques,wp_▁Historique}	[{11968}, {25, 11965, 12071}, {11978, 11965, 6}, {6, 104, 12073, 80, 12052}, {11968, 11962}]	0.3407821229050279	{pos_DET,wp_▁restés} {form_Dynamiques,wp_▁Historique} {wp_▁localisation} {form_Dynamiques}	[{80, 12052}, {11968, 11962}, {11965}, {11968}]	0.3575418994413408	{pos_DET,wp_▁restés} {form_Dynamiques,wp_▁Historique} {wp_▁localisation} {form_Dynamiques}	[{80, 12052}, {11968, 11962}, {11965}, {11968}]	0.3575418994413408
79	{wp_▁V} {form_Dynamiques,wp_▁Historique,wp_▁V}	[{11957}, {11968, 11962, 11957}]	82.0	{wp_▁V}	[{11957}]	140.0	{wp_▁V} {form_Dynamiques,wp_▁Historique,wp_▁V}	[{11957}, {11968, 11962, 11957}]	82.0	{wp_▁V}	[{11957}]	140.0	{wp_▁V}	[{11957}]	140.0	{wp_▁V}	[{11957}]	140.0	{wp_▁V}	[{11957}]	140.0
80	{wp_▁V} {form_Dynamiques,wp_▁V}	[{11957}, {11968, 11957}]	105.0	{wp_▁V} {wp_▁V}	[{11957}, {11957}]	116.0	{form_Dynamiques,wp_▁V} {wp_▁V}	[{11968, 11957}, {11957}]	105.0	{wp_▁V} {wp_▁V}	[{11957}, {11957}]	116.0	{wp_▁V} {wp_▁V}	[{11957}, {11957}]	116.0	{wp_▁V} {wp_▁V}	[{11957}, {11957}]	116.0	{wp_▁V} {wp_▁V}	[{11957}, {11957}]	116.0
81	{form_Dynamiques} {form_placé} {wp_▁localisation}	[{11968}, {11983}, {11965}]	0.3240223463687151	{form_Dynamiques} {form_placé} {wp_▁localisation}	[{11968}, {11983}, {11965}]	0.3240223463687151	{form_Dynamiques,lemma_7114} {wp_▁localisation} {wp_▁localisation,form_placé}	[{11968, 11976}, {11965}, {11965, 11983}]	0.2569832402234637	{form_Dynamiques} {form_placé}	[{11968}, {11983}]	65.0	{form_Dynamiques} {form_placé}	[{11968}, {11983}]	65.0	{form_Dynamiques,lemma_7114} {form_placé} {wp_▁localisation}	[{11968, 11976}, {11983}, {11965}]	0.27932960893854747	{form_Dynamiques,lemma_7114} {form_placé} {wp_▁localisation}	[{11968, 11976}, {11983}, {11965}]	0.27932960893854747
82	{wp_s} {wp_▁localisation}	[{300}, {11965}]	0.3575418994413408	{wp_s,wp_▁V}	[{300, 11957}]	0.39106145251396646	{wp_s,wp_▁V}	[{300, 11957}]	0.39106145251396646	{wp_s}	[{300}]	76.0	{wp_s}	[{300}]	76.0	{wp_s}	[{300}]	76.0	{wp_s,wp_▁V}	[{300, 11957}]	0.39106145251396646
83	{lemma_7114,form_acquisition} {form_bus}	[{11976, 12005}, {12087}]	0.26256983240223464	{lemma_7114,form_acquisition} {form_bus}	[{11976, 12005}, {12087}]	0.26256983240223464	{lemma_7114,form_acquisition} {lemma_7114,form_bus}	[{11976, 12005}, {11976, 12087}]	0.2569832402234637	{lemma_7114,form_acquisition}	[{11976, 12005}]	146.0	{lemma_7114,form_acquisition}	[{11976, 12005}]	146.0	{lemma_7114} {form_bus}	[{11976}, {12087}]	73.0	{lemma_7114} {form_bus}	[{11976}, {12087}]	73.0
84	{lemma__,wp_▁localisation,lemma_transport} {form_2001,wp_▁localisation,dep__} {dep__,lemma_le,form_RER,pos_DET,wp_▁restés,wp_▁V,wp_▁les} {form_Dynamiques,wp_▁V} {wp_▁localisation}	[{25, 11965, 12071}, {11978, 11965, 6}, {6, 104, 12073, 80, 12052, 11957, 441}, {11968, 11957}, {11965}]	0.26256983240223464	{form_Dynamiques} {lemma__,wp_▁localisation,lemma_transport} {form_2001,wp_▁localisation,dep__} {dep__,lemma_le,form_RER,pos_DET,wp_▁restés} {form_Dynamiques}	[{11968}, {25, 11965, 12071}, {11978, 11965, 6}, {6, 104, 12073, 80, 12052}, {11968}]	0.37988826815642457	{lemma__,wp_▁localisation,lemma_transport} {form_2001,wp_▁localisation,dep__} {dep__,lemma_le,form_RER,pos_DET,wp_▁restés,wp_▁V,wp_▁les} {wp_▁V}	[{25, 11965, 12071}, {11978, 11965, 6}, {6, 104, 12073, 80, 12052, 11957, 441}, {11957}]	0.3463687150837989	{form_Dynamiques} {lemma__,wp_▁localisation,lemma_transport} {form_2001,wp_▁localisation,dep__} {dep__,lemma_le,form_RER,pos_DET,wp_▁restés} {form_Dynamiques}	[{11968}, {25, 11965, 12071}, {11978, 11965, 6}, {6, 104, 12073, 80, 12052}, {11968}]	0.37988826815642457	{lemma__,wp_▁localisation,lemma_transport} {form_2001,wp_▁localisation,dep__} {dep__,lemma_le,form_RER,pos_DET,wp_▁restés} {form_Dynamiques} {wp_▁localisation}	[{25, 11965, 12071}, {11978, 11965, 6}, {6, 104, 12073, 80, 12052}, {11968}, {11965}]	0.40782122905027934	{lemma__,wp_▁localisation,lemma_transport} {form_2001,wp_▁localisation,dep__} {dep__,lemma_le,form_RER,pos_DET,wp_▁restés} {form_Dynamiques} {form_2001,wp_▁localisation}	[{25, 11965, 12071}, {11978, 11965, 6}, {6, 104, 12073, 80, 12052}, {11968}, {11978, 11965}]	0.2569832402234637	{lemma__,wp_▁localisation,lemma_transport} {form_2001,wp_▁localisation,dep__} {dep__,lemma_le,form_RER,pos_DET,wp_▁restés} {form_Dynamiques} {form_2001,wp_▁localisation}	[{25, 11965, 12071}, {11978, 11965, 6}, {6, 104, 12073, 80, 12052}, {11968}, {11978, 11965}]	0.2569832402234637
85	{form_acquisition} {form_acquisition} {wp_▁localisation} {lemma_7114}	[{12005}, {12005}, {11965}, {11976}]	49.0	{lemma_7114} {wp_▁localisation} {lemma_7114,form_acquisition} {lemma_7114,form_acquisition}	[{11976}, {11965}, {11976, 12005}, {11976, 12005}]	0.31843575418994413	{lemma_7114} {form_2001,wp_▁localisation} {lemma_7114,form_acquisition} {lemma_7114,form_acquisition}	[{11976}, {11978, 11965}, {11976, 12005}, {11976, 12005}]	0.2737430167597765	{form_acquisition} {form_acquisition} {wp_▁localisation} {lemma_7114}	[{12005}, {12005}, {11965}, {11976}]	49.0	{form_acquisition} {form_acquisition} {wp_▁localisation} {lemma_7114}	[{12005}, {12005}, {11965}, {11976}]	49.0	{lemma_7114} {wp_▁localisation} {lemma_7114,form_acquisition} {lemma_7114,form_acquisition}	[{11976}, {11965}, {11976, 12005}, {11976, 12005}]	0.31843575418994413	{lemma_7114} {wp_▁localisation} {lemma_7114,form_acquisition} {lemma_7114,form_acquisition}	[{11976}, {11965}, {11976, 12005}, {11976, 12005}]	0.31843575418994413
86	{form_Dynamiques} {pos_ADJ} {wp_▁localisation}	[{11968}, {153}, {11965}]	59.0	{form_Dynamiques} {pos_ADJ}	[{11968}, {153}]	78.0	{form_Dynamiques,wp_▁Historique} {pos_ADJ}	[{11968, 11962}, {153}]	0.2737430167597765	{form_Dynamiques} {pos_ADJ}	[{11968}, {153}]	78.0	{form_Dynamiques} {pos_ADJ}	[{11968}, {153}]	78.0	{form_Dynamiques} {pos_ADJ}	[{11968}, {153}]	78.0	{form_Dynamiques} {pos_ADJ}	[{11968}, {153}]	78.0
87	{wp_▁caractérise}	[{12242}]	78.0	{wp_▁caractérise,form_bus}	[{12242, 12087}]	77.0	{lemma_7114,form_caractérise,wp_▁caractérise}	[{11976, 12241, 12242}]	50.0	{wp_▁caractérise}	[{12242}]	78.0	{form_caractérise,wp_▁Historique,wp_▁caractérise}	[{12241, 11962, 12242}]	56.0	{wp_▁caractérise}	[{12242}]	78.0	{wp_▁caractérise}	[{12242}]	78.0
88	{wp_▁localisation} {form_2001,wp_▁localisation} {wp_▁V} {wp_▁Historique}	[{11965}, {11978, 11965}, {11957}, {11962}]	0.33519553072625696	{wp_▁V} {wp_▁localisation} {wp_▁localisation}	[{11957}, {11965}, {11965}]	0.3016759776536313	{wp_▁localisation} {lemma_de,form_2001,wp_▁de,wp_▁localisation} {wp_▁les,wp_▁V}	[{11965}, {9, 11978, 12, 11965}, {441, 11957}]	0.31843575418994413	{wp_▁localisation} {wp_▁localisation} {wp_▁V}	[{11965}, {11965}, {11957}]	95.0	{wp_▁localisation} {form_2001,wp_▁localisation} {wp_▁V}	[{11965}, {11978, 11965}, {11957}]	84.0	{wp_▁localisation} {wp_▁localisation} {wp_▁V}	[{11965}, {11965}, {11957}]	95.0	{wp_▁localisation} {wp_▁localisation} {wp_▁V}	[{11965}, {11965}, {11957}]	95.0
89	{wp_▁en}	[{88}]	0.2737430167597765	{wp_▁en}	[{88}]	0.2737430167597765	{wp_▁en,form_2001,wp_▁localisation,lemma_en}	[{88, 11978, 11965, 87}]	0.2681564245810056	{wp_▁en}	[{88}]	0.2737430167597765	{wp_▁en,form_2001,wp_▁localisation,lemma_en}	[{88, 11978, 11965, 87}]	0.2681564245810056	{wp_▁en}	[{88}]	0.2737430167597765	{wp_▁en}	[{88}]	0.2737430167597765
90	{wp_-}	[{176}]	0.26256983240223464	{wp_-}	[{176}]	0.26256983240223464	{wp_-}	[{176}]	0.26256983240223464	{wp_-}	[{176}]	0.26256983240223464	{wp_-}	[{176}]	0.26256983240223464	{wp_-}	[{176}]	0.26256983240223464	{wp_-}	[{176}]	0.26256983240223464
91	{form_distinguait} {form_Dynamiques}	[{12098}, {11968}]	0.26256983240223464	{form_distinguait}	[{12098}]	0.5642458100558659	{form_distinguait,wp_▁bilingue}	[{12098, 12380}]	0.31843575418994413	{form_distinguait}	[{12098}]	0.5642458100558659	{form_distinguait}	[{12098}]	0.5642458100558659	{form_distinguait}	[{12098}]	0.5642458100558659	{form_distinguait}	[{12098}]	0.5642458100558659
92	{form_distinguait} {wp_▁localisation}	[{12098}, {11965}]	0.41899441340782123	{form_distinguait} {wp_▁localisation}	[{12098}, {11965}]	0.41899441340782123	{form_distinguait} {lemma_localisation,wp_▁localisation}	[{12098}, {11964, 11965}]	0.3407821229050279	{form_distinguait} {wp_▁localisation}	[{12098}, {11965}]	0.41899441340782123	{form_distinguait} {wp_▁localisation}	[{12098}, {11965}]	0.41899441340782123	{form_distinguait} {wp_▁localisation}	[{12098}, {11965}]	0.41899441340782123	{form_distinguait} {wp_▁localisation}	[{12098}, {11965}]	0.41899441340782123
93	{wp_.}	[{57}]	145.0	{wp_.}	[{57}]	145.0	{wp_.,lemma_localisation,wp_▁localisation,lemma_.}	[{57, 11964, 11965, 54}]	138.0	{wp_.}	[{57}]	145.0	{wp_.,lemma_localisation,wp_▁localisation,lemma_.}	[{57, 11964, 11965, 54}]	138.0	{wp_.}	[{57}]	145.0	{wp_.,lemma_localisation,wp_▁localisation,lemma_.}	[{57, 11964, 11965, 54}]	138.0
94	{wp_▁V} {wp_.}	[{11957}, {57}]	0.25139664804469275	{wp_▁V} {wp_.}	[{11957}, {57}]	0.25139664804469275	{wp_▁V} {wp_.}	[{11957}, {57}]	0.25139664804469275	{wp_▁V} {wp_.}	[{11957}, {57}]	0.25139664804469275	{wp_▁V} {wp_.}	[{11957}, {57}]	0.25139664804469275	{wp_▁V} {wp_.}	[{11957}, {57}]	0.25139664804469275	{wp_▁V} {wp_.}	[{11957}, {57}]	0.25139664804469275
95	{form_Dynamiques,lemma_7114} {form_Novembre}	[{11968, 11976}, {11959}]	0.25139664804469275	{form_Dynamiques,lemma_7114} {form_Novembre}	[{11968, 11976}, {11959}]	0.25139664804469275	{form_Dynamiques,lemma_7114} {form_Novembre}	[{11968, 11976}, {11959}]	0.25139664804469275	{form_Dynamiques} {form_Novembre}	[{11968}, {11959}]	0.2849162011173184	{form_Dynamiques,lemma_7114} {form_Novembre}	[{11968, 11976}, {11959}]	0.25139664804469275	{form_Dynamiques} {form_Novembre}	[{11968}, {11959}]	0.2849162011173184	{form_Dynamiques,lemma_7114} {form_Novembre}	[{11968, 11976}, {11959}]	0.25139664804469275
96	{lemma_7114} {form_distinguait}	[{11976}, {12098}]	0.25139664804469275	{lemma_7114} {form_distinguait}	[{11976}, {12098}]	0.25139664804469275	{lemma_7114} {form_distinguait}	[{11976}, {12098}]	0.25139664804469275	{lemma_7114} {form_distinguait}	[{11976}, {12098}]	0.25139664804469275	{lemma_7114} {form_distinguait}	[{11976}, {12098}]	0.25139664804469275	{lemma_7114} {form_distinguait}	[{11976}, {12098}]	0.25139664804469275	{lemma_7114} {form_distinguait}	[{11976}, {12098}]	0.25139664804469275
97	{wp_▁des}	[{147}]	61.0	{wp_▁des}	[{147}]	61.0	{wp_▁des}	[{147}]	61.0	{wp_▁des}	[{147}]	61.0	{wp_▁des}	[{147}]	61.0	{wp_▁des}	[{147}]	61.0	{wp_▁des}	[{147}]	61.0
98	{wp_▁localisation} {wp_▁localisation} {wp_▁localisation}	[{11965}, {11965}, {11965}]	0.4134078212290503	{wp_▁localisation} {wp_▁localisation} {wp_▁localisation}	[{11965}, {11965}, {11965}]	0.4134078212290503	{wp_▁localisation} {wp_▁localisation} {wp_▁localisation}	[{11965}, {11965}, {11965}]	0.4134078212290503	{wp_▁localisation} {wp_▁localisation} {wp_▁localisation}	[{11965}, {11965}, {11965}]	0.4134078212290503	{wp_▁localisation} {wp_▁localisation} {wp_▁localisation}	[{11965}, {11965}, {11965}]	0.4134078212290503	{wp_▁localisation} {wp_▁localisation} {wp_▁localisation}	[{11965}, {11965}, {11965}]	0.4134078212290503	{wp_▁localisation} {wp_▁localisation} {wp_▁localisation}	[{11965}, {11965}, {11965}]	0.4134078212290503
99	{wp_▁localisation} {form_placé} {wp_▁localisation}	[{11965}, {11983}, {11965}]	0.2849162011173184	{wp_▁localisation} {form_placé} {wp_▁localisation}	[{11965}, {11983}, {11965}]	0.2849162011173184	{wp_▁localisation} {form_placé} {wp_▁localisation}	[{11965}, {11983}, {11965}]	0.2849162011173184	{wp_▁localisation} {form_placé} {wp_▁localisation}	[{11965}, {11983}, {11965}]	0.2849162011173184	{wp_▁localisation} {form_placé} {wp_▁localisation}	[{11965}, {11983}, {11965}]	0.2849162011173184	{wp_▁localisation} {form_placé} {wp_▁localisation}	[{11965}, {11983}, {11965}]	0.2849162011173184	{wp_▁localisation} {form_placé} {wp_▁localisation}	[{11965}, {11983}, {11965}]	0.2849162011173184
